source_order,sample_name,nacl_lattice_a_angstrom,nacl_lattice_error_angstrom,pressure_gpa,sample_lattice_a_angstrom,sample_lattice_error_angstrom,compression_path,nacl_phase,volume_a3_conventional_cell,volume_error_a3,sample_volume_interpretation
35,mw20c_309,3.0375,0.0039,27.97,4.0406,0.0019,compression,B2,65.9686472434,0.093060755652,B1_cell
36,w20c_331,2.9924,0.0008,34.46,4.0151,0.0008,compression,B2,64.727539563,0.038690467224,B1_cell
37,mw20c_354,2.9789,0.0008,36.62,3.9958,0.0012,compression,B2,63.7986116059,0.057479103504,B1_cell
38,mw20c_384,2.9467,0.0011,42.25,3.9780,0.0034,compression,B2,62.949797352,0.1614097368,B1_cell
39,mw20c_413,2.9136,0.0003,48.78,3.9435,0.0017,compression,B2,61.3261266379,0.079311080475,B1_cell
40,mw20c_478,2.9012,0.0006,51.44,3.9276,0.0002,compression,B2,60.5873216166,0.009255625056,B1_cell
41,mw20b_057,2.8666,0.0024,59.56,3.9037,0.0026,compression,B2,59.4879912237,0.118863214782,B1_cell
42,mw20b_064,2.8409,0.0006,66.31,3.8771,0.0020,compression,B2,58.280196588,0.09019142646,B1_cell
43,mw20b_069,2.8232,0.0004,71.35,3.8597,0.0025,compression,B2,57.4990474022,0.111729630675,B1_cell
44,mw20b_075,2.7919,0.0009,81.14,3.8302,0.0026,compression,B2,56.1906887996,0.114429369912,B1_cell
45,mw20b_080,2.7625,0.0010,91.46,3.8060,0.0030,compression,B2,55.132330616,0.130370724,B1_cell
46,mw20b_083,2.7519,0.0018,95.48,3.7948,0.0045,compression,B2,54.6470441154,0.19440684504,B1_cell
