phase,source,source_doi,source_order,temperature_k,volume_a3,volume_uncertainty_a3,pressure_gpa,pressure_uncertainty_gpa,pressure_coordinate,selection_note
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-64,298.0,255.99,0.11,7.7126750557977894,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-71,298.0,257.73,0.39,6.028871273101326,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-77,298.0,259.58,0.56,4.329412121232143,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 1",10.1016/j.pepi.2003.08.007,T0133-78,298.0,264.46,0.94,0.16055010173729736,,Sokolova-2013 Au from Anderson-1989 pressure inversion,Figure 6 recalculation: inferred Au volume is the unique state that reproduces Wang's printed Anderson pressure
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-1,298.0,263.22,0.27,0.0,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-9,298.0,246.6,0.08,17.044,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-18,298.0,247.95,0.06,15.154,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-25,298.0,249.46,0.07,13.974,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-31,298.0,250.94,0.07,12.504,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-37,298.0,252.12,0.03,11.213,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-43,298.0,254.03,0.03,9.425,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-49,298.0,255.99,0.06,7.273,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-55,298.0,257.71,0.02,5.283,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
akimotoite_wang,"Wang et al. (2004), Table 2",10.1016/j.pepi.2003.08.007,T0150-56,298.0,263.57,0.09,-0.05,,published Decker-1971 NaCl pressure,Figure 6 retains the non-Au Wang observations as original
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,1,300.0,123.0,0.08,112.07389686309455,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,2,300.0,122.32,0.07,115.83846235951101,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,3,300.0,122.16,0.07,116.4671010169792,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,4,300.0,121.8,0.1,118.41330883835997,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,5,300.0,121.59,0.05,119.55557739991319,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,6,300.0,121.58,0.05,119.2807078964798,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,7,300.0,121.71,0.06,118.96060619737787,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,8,300.0,121.04,0.03,122.79651309932724,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,9,300.0,120.75,0.04,124.06354340143234,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,10,300.0,120.74,0.08,124.34639937897617,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,11,300.0,120.69,0.08,124.53523224883386,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,12,300.0,120.67,0.04,124.9135283275933,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,13,300.0,120.61,0.04,125.10299198849557,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,14,300.0,119.96,0.03,128.5979473378594,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,15,300.0,119.65,0.04,130.5921658718306,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,16,300.0,119.65,0.03,130.5921658718306,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,17,300.0,119.97,0.05,129.71385912812502,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,18,300.0,119.77,0.04,130.2500804913571,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,19,300.0,119.8,0.04,130.5432558219723,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,20,300.0,119.33,0.04,132.5597422420844,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,21,300.0,119.32,0.05,132.7081929053583,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,22,300.0,119.21,0.05,133.15428712979724,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,23,300.0,119.18,0.04,133.50202034231663,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Guignot et al. (2007), Table 1",10.1016/j.epsl.2007.01.025,24,300.0,119.12,0.04,133.50202034231663,0.5,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Komabayashi et al. (2008), Table 1",10.1016/j.epsl.2007.10.036,1,300.0,120.89,0.15,125.48255168523895,,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Komabayashi et al. (2008), Table 1",10.1016/j.epsl.2007.10.036,8,300.0,120.02,0.3,130.7879419044787,,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
post_perovskite,"Komabayashi et al. (2008), Table 1",10.1016/j.epsl.2007.10.036,12,300.0,121.5,0.09,122.65631810193676,,Sokolova-2013 MgO from measured lattice a,Source explicitly selected by Dorogokupets et al.
