source_order,sample_name,nacl_lattice_a_angstrom,nacl_lattice_error_angstrom,pressure_gpa,sample_lattice_a_angstrom,sample_lattice_error_angstrom,compression_path,nacl_phase,volume_a3_conventional_cell,volume_error_a3,sample_volume_interpretation
44,mw39c_015,2.6772,0.0019,128.92,3.7194,0.0042,decompression,B2,51.4539428974,0.174307598136,B1_cell
45,mw39c_020,2.6818,0.0007,126.57,3.7217,0.0053,decompression,B2,51.5494560973,0.220231709151,B1_cell
46,mw39c_023,2.6876,0.0000,123.67,3.7282,0.0032,decompression,B2,51.8200235898,0.133434962304,B1_cell
47,mw39c_029,2.7011,0.0052,117.16,3.7500,0.0030,decompression,B2,52.734375,0.1265625,B1_cell
48,mw39c_032,2.7113,0.0019,112.46,3.7650,0.0012,decompression,B2,53.369722125,0.05103081,B1_cell
49,mw39c_033,2.7171,0.0005,109.87,3.7704,0.0015,decompression,B2,53.5996902897,0.06397162272,B1_cell
50,mw39c_034,2.7247,0.0011,106.56,3.7764,0.0021,decompression,B2,53.8559841997,0.089845540848,B1_cell
51,mw39c_035,2.7298,0.0009,104.40,3.7832,0.0043,decompression,B2,54.1474367944,0.184632568896,B1_cell
52,mw39c_036,2.7427,0.0002,99.10,3.7923,0.0018,decompression,B2,54.5391114495,0.077660312166,B1_cell
53,mw39c_037,2.7579,0.0025,93.19,3.8087,0.0028,decompression,B2,55.2497475245,0.121852043796,B1_cell
54,mw39c_039,2.7833,0.0027,84.05,3.8377,0.0003,decompression,B2,56.5214202886,0.013255147161,B1_cell
55,mw39c_041,2.7961,0.0027,79.76,3.8460,0.0033,decompression,B2,56.888939736,0.1464379884,B1_cell
56,mw39c_042,2.8074,0.0048,76.15,3.8548,0.0015,decompression,B2,57.2803352226,0.06686767368,B1_cell
57,mw39c_043,2.8219,0.0044,71.74,3.8685,0.0047,decompression,B2,57.8932330691,0.211010620725,B1_cell
58,mw39c_044,2.8311,0.0024,69.06,3.8784,0.0084,decompression,B2,58.3388406743,0.379058061312,B1_cell
59,mw39c_047,2.8408,0.0011,66.34,3.8891,0.0012,decompression,B2,58.823021782,0.054450355716,B1_cell
60,mw39c_053,2.8545,0.0050,62.66,3.9070,0.0039,decompression,B2,59.638983643,0.1785963933,B1_cell
61,mw39c_051,2.8612,0.0036,60.92,3.9142,0.0050,decompression,B2,59.9693080513,0.2298144246,B1_cell
62,mw39c_056,2.8618,0.0046,60.77,3.9357,0.0030,decompression,B2,60.9629480323,0.13940761041,B1_cell
63,mw39c_050,2.8658,0.0049,59.76,3.9248,0.0039,decompression,B2,60.457835221,0.180227443968,B1_cell
64,mw39c_055,2.8760,0.0005,57.25,3.9508,0.0015,decompression,B2,61.6673285845,0.07023969288,B1_cell
65,mw39c_057,2.8760,0.0005,57.25,3.9604,0.0024,decompression,B2,62.1179558209,0.112930330752,B1_cell
66,mw39c_048,2.8861,0.0041,54.86,3.9405,0.0024,decompression,B2,61.1862723551,0.1117982898,B1_cell
67,mw39c_060,2.9348,0.0013,44.51,4.0004,0.0006,decompression,B2,64.0192019201,0.028805760288,B1_cell
68,mw39c_058,2.9406,0.0045,43.39,3.9985,0.0018,decompression,B2,63.9280269966,0.08633521215,B1_cell
69,mw39c_062,2.9415,0.0000,43.22,4.0118,0.0110,decompression,B2,64.568072523,0.53111979492,B1_cell
70,mw39c_065,2.9472,0.0031,42.16,4.0008,0.0051,decompression,B2,64.0384076805,0.244897929792,B1_cell
71,mw39c_068,2.9908,0.0053,34.71,4.0436,0.0015,decompression,B2,66.1156944019,0.07357815432,B1_cell
72,mw39c_064,3.0196,0.0000,30.42,4.0630,0.0071,decompression,B2,67.071878047,0.3516197397,B1_cell
73,mw39c_063,3.0222,0.0081,30.05,4.0583,0.0159,decompression,B2,66.8393848353,0.785609407053,B1_cell
74,mw39c_067,3.0513,0.0000,26.19,4.1019,0.0067,decompression,B2,69.0168614099,0.338194230561,B1_cell
75,mw39c_070,5.2688,0.0000,8.12,4.1929,0.0000,decompression,B1,73.7129028081,0,B1_cell
76,mw39c_071,5.3085,0.0000,6.85,4.2063,0.0000,decompression,B1,74.421896344,0,B1_cell
77,mw39c_073,5.3386,0.0000,5.96,4.2188,0.0000,decompression,B1,75.0873559887,0,B1_cell
