density_g_cm3,atomic_volume_a3,longitudinal_stress_gpa,longitudinal_stress_uncertainty_gpa,isentrope_pressure_gpa,isentrope_pressure_uncertainty_gpa,isotherm_298k_pressure_gpa,isotherm_298k_pressure_uncertainty_gpa
33.32,9.816,425.5,15.3,421.3,16.4,415.3,16.4
33.52,9.757,436.5,16.0,432.1,17.0,426.1,17.0
33.72,9.700,447.5,16.8,443.1,18.0,437.0,18.0
33.92,9.642,458.7,17.8,454.2,19.0,448.0,19.0
34.12,9.586,470.2,19.0,465.5,20.2,459.3,20.2
34.32,9.530,482.1,19.9,477.3,21.2,471.0,21.2
34.52,9.475,493.8,20.2,488.9,21.5,482.6,21.5
34.72,9.420,505.7,20.7,500.7,22.1,494.3,22.1
34.92,9.366,517.7,21.2,512.5,22.6,506.1,22.6
35.12,9.313,529.8,21.8,524.5,23.2,518.0,23.2
35.32,9.260,542.0,22.3,536.6,23.8,530.0,23.8
35.52,9.208,554.4,23.0,548.9,24.5,542.2,24.5
35.72,9.157,566.8,23.6,561.2,25.1,554.5,25.2
35.92,9.106,579.5,24.3,573.7,25.9,566.9,25.9
36.12,9.055,592.3,25.1,586.5,26.7,579.6,26.8
36.32,9.005,605.4,25.8,599.4,27.4,592.5,27.5
36.52,8.956,618.5,26.4,612.4,28.1,605.4,28.1
36.72,8.907,631.8,26.9,625.5,28.6,618.5,28.6
36.92,8.859,645.2,27.6,638.8,29.4,631.7,29.4
37.12,8.811,658.7,28.2,652.2,30.0,645.0,30.0
37.32,8.764,672.3,28.8,665.7,30.7,658.5,30.7
37.52,8.717,686.5,30.7,679.7,32.7,672.4,32.8
37.72,8.671,701.4,32.1,694.4,34.2,687.1,34.2
37.92,8.625,716.4,32.9,709.3,35.0,701.9,35.0
38.12,8.580,731.6,33.6,724.4,35.8,716.9,35.8
38.32,8.535,746.9,34.4,739.5,36.6,732.0,36.6
38.52,8.491,762.4,35.1,754.8,37.3,747.3,37.4
38.72,8.447,777.9,35.7,770.2,38.1,762.6,38.1
38.92,8.404,793.6,36.5,785.7,38.8,778.1,38.9
39.12,8.361,809.4,37.3,801.4,39.7,793.7,39.7
39.32,8.318,825.4,38.1,817.3,40.6,809.5,40.6
39.52,8.276,841.6,38.9,833.3,41.5,825.4,41.5
39.72,8.234,857.9,39.8,849.4,42.4,841.5,42.4
39.92,8.193,874.6,41.5,866.0,44.2,858.0,44.2
40.12,8.152,891.9,42.9,883.1,45.7,875.0,45.7
40.32,8.112,909.3,44.2,900.4,47.0,892.3,47.0
40.52,8.072,927.0,45.5,917.9,48.4,909.7,48.4
40.72,8.032,944.9,46.7,935.6,49.7,927.4,49.7
40.92,7.993,963.0,47.9,953.6,51.0,945.3,51.0
41.12,7.954,981.4,49.2,971.7,52.4,963.4,52.4
41.32,7.916,999.9,50.4,990.0,53.6,981.7,53.6
41.52,7.877,1018.5,51.6,1008.5,55.0,1000.1,55.0
41.72,7.840,1037.5,53.2,1027.3,56.7,1018.8,56.7
41.92,7.802,1056.8,55.0,1046.4,58.6,1037.9,58.6
42.12,7.765,1076.4,56.4,1065.8,60.1,1057.2,60.1
42.32,7.729,1096.1,57.8,1085.4,61.5,1076.7,61.5
42.52,7.692,1116.1,59.3,1105.2,63.1,1096.5,63.1
42.72,7.656,1136.6,61.9,1125.5,65.8,1116.7,65.9
42.92,7.620,1157.7,64.8,1146.4,68.9,1137.6,69.0
